,covers_id,amazon_id,covers_title,amazon_title,similarity_score,covers_isbn,amazon_isbn,is_match
0,Covers_4847,Amazon_3985,The McKinsey Way,The McKinsey Way,1.0,9780070534483,9780070534483,True
1,Covers_7268,Amazon_7066,Jurassic Park,Jurassic Park,1.0,9780345370778,9780345370778,True
2,Covers_2876,Amazon_7894,A Poetry Handbook,Poetry Handbook,1.0,9780156724005,9780156724005,True
3,Covers_2864,Amazon_17442,Something Wonderful,Something Wonderful,1.0,9780671737634,9780671737634,True
4,Covers_8627,Amazon_14439,The Tracker,The Tracker,1.0,9780425101339,9780425101339,True
5,Covers_8828,Amazon_16539,What the Buddha Taught,What the Buddha Taught,1.0,9780802130310,9780802130310,True
6,Covers_7995,Amazon_7859,Sweet Revenge,Sweet Revenge,1.0,9780553278590,9780553278590,True
7,Covers_6708,Amazon_7503,Conspiracy in Death,Conspiracy in Death,1.0,9780425168134,9780425168134,True
8,Covers_1002,Amazon_2970,The Unabridged Journals of Sylvia Plath,The Unabridged Journals of Sylvia Plath,1.0,9780385720250,9780385720250,True
9,Covers_6800,Amazon_116,Dibs in Search of Self,Dibs in Search of Self,1.0,9780345339256,9780345339256,True
10,Covers_5902,Amazon_18786,Women's Strength Training Anatomy,Women's Strength Training Anatomy,1.0,9780736048132,9780736048132,True
11,Covers_6971,Amazon_21095,Flipped,Flipped,1.0,9780375825446,9780375825446,True
12,Covers_5450,Amazon_9815,The New Book of Middle Eastern Food,The New Book of Middle Eastern Food,1.0,9780375405068,9780375405068,True
13,Covers_5477,Amazon_8861,Modern Coin Magic,Modern Coin Magic,1.0,9780486242583,9780486242583,True
14,Covers_6351,Amazon_11947,A Small Place,A Small Place,1.0,9780374527075,9780374527075,True
15,Covers_2880,Amazon_3437,I Have Lived A Thousand Years: Growing Up In The Holocaust,I Have Lived A Thousand Years: Growing up in the Holocaust,1.0,9780689823954,9780689823954,True
16,Covers_6629,Amazon_17555,Candy,Candy,1.0,9780345423870,9780345423870,True
17,Covers_348,Amazon_3141,Gift from the Sea,Gift From The Sea,1.0,9780679732419,9780679732419,True
18,Covers_1758,Amazon_11740,From the Holy Mountain,From the Holy Mountain,1.0,9780006547747,9780006547747,True
19,Covers_1178,Amazon_21575,How To Draw Caricatures,How To Draw Caricatures,1.0,9780809256853,9780809256853,True
20,Covers_7825,Amazon_16483,Schindler's List,Schindler's List,1.0,9780671880316,9780671880316,True
21,Covers_3175,Amazon_13816,WISDOM OF FLORENCE SCOVEL SHINN,Wisdom of Florence Scovel Shinn,1.0,9780671682286,9780671682286,True
22,Covers_8541,Amazon_17794,The Satanic Verses,The Satanic Verses,1.0,9780963270702,9780963270702,True
23,Covers_2690,Amazon_18107,Servant of the Empire,Servant of the Empire,1.0,9780553292459,9780553292459,True
24,Covers_8443,Amazon_15028,The Odyssey,The Odyssey,1.0,9781853260254,9781853260254,True
25,Covers_540,Amazon_18357,D'Aulaires Book of Greek Myths,D'Aulaires Book of Greek Myths,1.0,9780440406945,9780440406945,True
26,Covers_7122,Amazon_11600,Hiroshima,Hiroshima,1.0,9780679721031,9780679721031,True
27,Covers_2659,Amazon_2044,Keys to Drawing,Keys to Drawing,1.0,9780891343370,9780891343370,True
28,Covers_2583,Amazon_16287,The Cost of Discipleship,The Cost of Discipleship,1.0,9780684815008,9780684815008,True
29,Covers_1068,Amazon_7679,Reunion in Death,Reunion in Death,1.0,9780425183977,9780425183977,True
30,Covers_5633,Amazon_9716,The Cake Bible,The Cake Bible,1.0,9780688044022,9780688044022,True
31,Covers_2764,Amazon_13807,Satanic Rituals,Satanic Rituals,1.0,9780380013920,9780380013920,True
32,Covers_8861,Amazon_14667,Winterdance: The Fine Madness of Running the Iditarod,Winterdance: the Fine Madness of Running the Iditarod,1.0,9780156001458,9780156001458,True
33,Covers_5984,Amazon_19954,Roxaboxen,Roxaboxen,1.0,9780060526337,9780060526337,True
34,Covers_1237,Amazon_16094,On Becoming a Novelist,On Becoming a Novelist,1.0,9780393320039,9780393320039,True
35,Covers_4900,Amazon_11224,Shepherding a Child's Heart,Shepherding A Child's Heart,1.0,9780966378603,9780966378603,True
36,Covers_8403,Amazon_7429,The Mediterranean Caper,The Mediterranean Caper,1.0,9780425197394,9780425197394,True
37,Covers_7743,Amazon_16904,Rebecca,Rebecca,1.0,9780380778553,9780380778553,True
38,Covers_1590,Amazon_7599,Immortal in Death,Immortal in Death,1.0,9780425153789,9780425153789,True
39,Covers_2635,Amazon_4289,Working with Emotional Intelligence,Working with Emotional Intelligence,1.0,9780553378580,9780553378580,True
40,Covers_364,Amazon_6708,Drawing the Head and Figure,Drawing the Head and Figure,1.0,9780399507915,9780399507915,True
41,Covers_4491,Amazon_4591,Where Is Baby's Belly Button?,Where Is Baby's Belly Button?,1.0,9780689835605,9780689835605,True
42,Covers_8250,Amazon_11761,The First World War,The First World War,1.0,9780375700453,9780375700453,True
43,Covers_5348,Amazon_14605,The Life of Mammals,The Life of Mammals,1.0,9780691113241,9780691113241,True
44,Covers_6147,Amazon_20431,The Complete Woodcuts of Albrecht Durer,The Complete Woodcuts of Albrecht Durer,1.0,9780486210971,9780486210971,True
45,Covers_3779,Amazon_19545,Changing for Good,Changing for Good,1.0,9780380725724,9780380725724,True
46,Covers_4884,Amazon_2531,Towards a New Architecture,Towards a New Architecture,1.0,9780486250236,9780486250236,True
47,Covers_8268,Amazon_2100,The Gashlycrumb Tinies,The Gashlycrumb Tinies,1.0,9780151003082,9780151003082,True
48,Covers_7466,Amazon_18080,Mistress of the Empire,Mistress of the Empire,1.0,9780553561180,9780553561180,True
49,Covers_6328,Amazon_14294,A Natural History of the Senses,A Natural History of the Senses,1.0,9780679735663,9780679735663,True
50,Covers_8478,Amazon_4853,The Pillars of the Earth,The Pillars of the Earth,1.0,9780451166890,9780451166890,True
51,Covers_5509,Amazon_15061,The Collected Poems of W. B. Yeats,The Collected Poems of W.B. Yeats,1.0,9781853264542,9781853264542,True
52,Covers_5004,Amazon_9139,100 Carols for Choirs,100 Carols for Choirs,1.0,9780193532274,9780193532274,True
53,Covers_2299,Amazon_5117,The Wonderful Wizard of Oz: A Commemorative Pop-up,The Wonderful Wizard of Oz: a Commemorative Pop-up,1.0,9780689817519,9780689817519,True
54,Covers_6840,Amazon_16882,Drums of Autumn,Drums of Autumn,1.0,9780440224259,9780440224259,True
55,Covers_7089,Amazon_7499,Hannibal,Hannibal,1.0,9780440224679,9780440224679,True
56,Covers_8037,Amazon_16394,The Abolition of Man,The Abolition of Man,1.0,9780060652944,9780060652944,True
57,Covers_4983,Amazon_4901,The Jolly Postman,The Jolly Postman,1.0,9780316126441,9780316126441,True
58,Covers_6665,Amazon_11634,Chickenhawk,Chickenhawk,1.0,9780552124195,9780552124195,True
59,Covers_909,Amazon_10591,Calvin and Hobbes,Calvin and Hobbes,1.0,9780836220889,9780836220889,True
60,Covers_4604,Amazon_3683,High Output Management,High Output Management,1.0,9780679762881,9780679762881,True
61,Covers_1132,Amazon_8851,Seinlanguage,Seinlanguage,1.0,9780553569155,9780553569155,True
62,Covers_6691,Amazon_15179,Collected Fictions,Collected Fictions,1.0,9780140286809,9780140286809,True
63,Covers_3270,Amazon_3710,Economics in One Lesson,Economics In One Lesson,1.0,9780517548233,9780517548233,True
64,Covers_5897,Amazon_942,Meditation Made Easy,Meditation Made Easy,1.0,9780062515421,9780062515421,True
65,Covers_4162,Amazon_18434,Stick and Rudder: An Explanation of the Art of Flying,Stick and Rudder: An Explanation of the Art of Flying,1.0,9780070362406,9780070362406,True
66,Covers_1513,Amazon_21269,Explorers on the Moon (The Adventures of Tintin),The Adventures of Tintin: Explorers on the Moon,1.0,9780316358460,9780316358460,True
67,Covers_904,Amazon_12991,The Essential Calvin and Hobbes,The Essential Calvin and Hobbes,1.0,9780836218053,9780836218053,True
68,Covers_2638,Amazon_13725,Recovery of Your Inner Child : The Highly Acclaimed Method for Liberating Your Inner Self,Recovery of Your Inner Child: The Highly Acclaimed Method for Liberating Your Inner Self,1.0,9780671701352,9780671701352,True
69,Covers_2027,Amazon_14077,Journey To Ixtlan,Journey to Ixtlan,1.0,9780671732462,9780671732462,True
70,Covers_3576,Amazon_10774,300,300,1.0,9781569714027,9781569714027,True
71,Covers_593,Amazon_11025,Teach Your Child to Read in 100 Easy Lessons,Teach Your Child to Read in 100 Easy Lessons,1.0,9780671631987,9780671631987,True
72,Covers_1058,Amazon_14125,Book of Thoth,Book of Thoth,1.0,9780877282686,9780877282686,True
73,Covers_1327,Amazon_7445,Vengeance in Death,Vengeance in Death,1.0,9780425160398,9780425160398,True
74,Covers_5114,Amazon_2288,Drawing for the Artistically Undiscovered,Drawing for the Artistically Undiscovered,1.0,9781570543203,9781570543203,True
75,Covers_435,Amazon_12064,Genesis Revisited,Genesis Revisited,1.0,9780380761593,9780380761593,True
76,Covers_5067,Amazon_11787,"New Selected Poems, 1966-1987",New Selected Poems 1966-1987,1.0,9780571143726,9780571143726,True
77,Covers_1113,Amazon_20710,The Egg and I,The Egg and I,1.0,9780060914288,9780060914288,True
78,Covers_1807,Amazon_359,The Man Who Mistook His Wife For A Hat : And Other Clinical Tales,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,1.0,9780684853949,9780684853949,True
79,Covers_2064,Amazon_20584,The Face of Battle,The Face of Battle,1.0,9780140048971,9780140048971,True
80,Covers_5225,Amazon_15296,In Praise of Shadows,In Praise of Shadows,1.0,9780918172020,9780918172020,True
81,Covers_1648,Amazon_5247,Hattie And The Fox,Hattie and the Fox,1.0,9780689716119,9780689716119,True
82,Covers_5579,Amazon_5436,The Soul Of A New Machine,The Soul of a New Machine,1.0,9780316491976,9780316491976,True
83,Covers_7259,Amazon_3300,Journals,Journals,1.0,9781573223591,9781573223591,True
84,Covers_6881,Amazon_18062,Endymion,Endymion,1.0,9780553572940,9780553572940,True
85,Covers_7165,Amazon_17736,Hyperion,Hyperion,1.0,9780553283686,9780553283686,True
86,Covers_8617,Amazon_17057,The Thorn Birds,The Thorn Birds,1.0,9780380018178,9780380018178,True
87,Covers_8166,Amazon_7287,The Confessor,The Confessor,1.0,9780451211484,9780451211484,True
88,Covers_7331,Amazon_16456,Let Me Be a Woman,Let ME be a Woman,1.0,9780842321624,9780842321624,True
89,Covers_1887,Amazon_1115,THE ORIGIN OF SPECIES,The Origin of Species,1.0,9781853267802,9781853267802,True
90,Covers_6413,Amazon_10888,Amphigorey,Amphigorey,1.0,9780399504334,9780399504334,True
91,Covers_4074,Amazon_20964,Unreal!,Unreal!,1.0,9780140370997,9780140370997,True
92,Covers_1599,Amazon_3890,How I Raised Myself from Failure to Success in Selling,How I Raised Myself From Failure to Success in Selling,1.0,9780671794378,9780671794378,True
93,Covers_7303,Amazon_17207,Lake in the Clouds,Lake in the Clouds,1.0,9780553582796,9780553582796,True
94,Covers_8646,Amazon_7467,The Unlikely Spy,The Unlikely Spy,1.0,9780451209306,9780451209306,True
95,Covers_1821,Amazon_15017,"Three Theban Plays, The",The Three Theban Plays,1.0,9780140444254,9780140444254,True
96,Covers_639,Amazon_11942,Bill Bryson's African Diary,Bill Bryson's African Diary,1.0,9780767915069,9780767915069,True
97,Covers_6455,Amazon_2440,Arcadia,Arcadia,1.0,9780571169344,9780571169344,True
98,Covers_6761,Amazon_17215,Dawn on a Distant Shore,Dawn on a Distant Shore,1.0,9780553578553,9780553578553,True
99,Covers_7405,Amazon_12115,Making Faces,Making Faces,1.0,9780316286855,9780316286855,True
100,Covers_20371,Amazon_6974,The Power of Babble: The Politician's Dictionary of Buzzwords and Doubletalk for Every Occasion,The Power,0.2542486736701352,9780440212416,9780670919963,False
101,Covers_2820,Amazon_16337,Elminster: The Making of a Mage (Forgotten Realms Novel: Elminster Trilogy),Forgotten God,0.21679726186067338,9780786902033,9781434767950,False
102,Covers_37914,Amazon_15488,U2: Rattle &amp; hum : the official book of the U2 movie : a journey into the heartland of two Americas,The Rattle Bag,0.2550841771212994,9781871307412,9780571225835,False
103,Covers_14051,Amazon_15584,Splendeurs et MisÃ?Â¨res des courtisanes,No et moi,0.17937599093645137,9782253046554,9782253124801,False
