,covers_id,amazon_id,covers_title,amazon_title,similarity_score,covers_isbn,amazon_isbn,is_match
0,Covers_5397,Amazon_11765,Devil's Guard,Devil's Guard,1.0,9780440120148,9780440120148,True
1,Covers_8179,Amazon_17611,The Dark Highlander,The Dark Highlander,1.0,9780440237556,9780440237556,True
2,Covers_6825,Amazon_17468,Dragonfly in Amber,Dragonfly in Amber,1.0000000000000002,9780385335973,9780385335973,True
3,Covers_7939,Amazon_132,Spiritual Midwifery,Spiritual Midwifery,1.0,9781570671043,9781570671043,True
4,Covers_2064,Amazon_20584,The Face of Battle,The Face of Battle,1.0,9780140048971,9780140048971,True
5,Covers_2388,Amazon_15338,"Glad Monster, Sad Monster","Glad Monster, Sad Monster",1.0,9780316573955,9780316573955,True
6,Covers_3859,Amazon_6599,New Comprehensive A-Z Crossword Dictionary,New Comprehensive A-Z Crossword Dictionary,1.0000000000000004,9780380724253,9780380724253,True
7,Covers_2385,Amazon_10360,Miss Nelson Is Missing!,Miss Nelson Is Missing!,1.0,9780395401460,9780395401460,True
8,Covers_5114,Amazon_2288,Drawing for the Artistically Undiscovered,Drawing for the Artistically Undiscovered,1.0,9781570543203,9781570543203,True
9,Covers_1069,Amazon_1308,Cartoon Guide to Physics,The Cartoon Guide to Physics,0.9890326369707051,9780062731005,9780062731005,True
10,Covers_7355,Amazon_21002,Little House in the Big Woods,Little House in the Big Woods,1.0000000000000002,9780064400015,9780064400015,True
11,Covers_7089,Amazon_7499,Hannibal,Hannibal,1.0,9780440224679,9780440224679,True
12,Covers_7409,Amazon_14805,Man and His Symbols,Man & His Symbols,0.9687721749471514,9780440351832,9780440351832,True
13,Covers_8861,Amazon_14667,Winterdance: The Fine Madness of Running the Iditarod,Winterdance: the Fine Madness of Running the Iditarod,1.0,9780156001458,9780156001458,True
14,Covers_3120,Amazon_2217,Sanford Meisner on Acting,Sanford Meisner On Acting,1.0000000000000002,9780394750590,9780394750590,True
15,Covers_8166,Amazon_7287,The Confessor,The Confessor,1.0,9780451211484,9780451211484,True
16,Covers_7769,Amazon_18262,Revelation Space,Revelation Space,1.0000000000000002,9780441009428,9780441009428,True
17,Covers_2731,Amazon_14006,It Works,It Works,1.0,9780875163239,9780875163239,True
18,Covers_8041,Amazon_5841,The Age of Spiritual Machines: When Computers Exceed Human Intelligence,The Age of Spiritual Machines: When Computers Exceed Human Intelligence,1.0000000000000002,9780140282023,9780140282023,True
19,Covers_3206,Amazon_105,Breaking the Vicious Cycle: Intestinal Health Through Diet,"Breaking the vicious cycle, Intestinal health through diet",1.0,9780969276814,9780969276814,True
20,Covers_6126,Amazon_20413,How to Rebuild Your Volkswagen Air-Cooled Engine,How to Rebuild Your Volkswagen Air-Cooled Engine,1.0000000000000002,9780895862259,9780895862259,True
21,Covers_186,Amazon_8004,Der Vorleser,Der Vorleser,1.0000000000000002,9783257229530,9783257229530,True
22,Covers_1648,Amazon_5247,Hattie And The Fox,Hattie and the Fox,1.0,9780689716119,9780689716119,True
23,Covers_902,Amazon_13229,It's A Magical World: A Calvin and Hobbes Collection,It's a Magical World: a Calvin & Hobbes Collection,0.9846395587947641,9780836221367,9780836221367,True
24,Covers_7156,Amazon_11030,How to Stop Worrying and Start Living,How to Stop Worrying and Start Living,1.0000000000000002,9780671733353,9780671733353,True
25,Covers_1897,Amazon_13084,Far Side Gallery,The Far Side Gallery,0.9900674416241919,9780836220629,9780836220629,True
26,Covers_8422,Amazon_8128,The Mother Tongue,The Mother Tongue,1.0000000000000002,9780380715435,9780380715435,True
27,Covers_7921,Amazon_18303,Songlines,The Songlines,0.9822636373010002,9780099769910,9780099769910,True
28,Covers_1513,Amazon_21269,Explorers on the Moon (The Adventures of Tintin),The Adventures of Tintin: Explorers on the Moon,1.0,9780316358460,9780316358460,True
29,Covers_3906,Amazon_11881,Early Irish Myths and Sagas (Penguin Classics),Early Irish Myths and Sagas,0.9104725153224895,9780140443974,9780140443974,True
30,Covers_8377,Amazon_2179,The Long Hard Road Out of Hell,Long Hard Road Out Of Hell,0.992421390751669,9780060987466,9780060987466,True
31,Covers_8037,Amazon_16394,The Abolition of Man,The Abolition of Man,1.0,9780060652944,9780060652944,True
32,Covers_6920,Amazon_17432,Fantasy Lover,Fantasy Lover,1.0,9780312979973,9780312979973,True
33,Covers_905,Amazon_13272,The Calvin &amp; Hobbes Lazy Sunday Book,Calvin and Hobbes Lazy Sunday,0.9231838090855584,9780836218527,9780836218527,True
34,Covers_2342,Amazon_18085,The bookshop,The Bookshop,1.0,9780006543541,9780006543541,True
35,Covers_1880,Amazon_3477,The Education of Little Tree,The Education of Little Tree,1.0000000000000002,9780826328090,9780826328090,True
36,Covers_5185,Amazon_8731,Stet,Stet,1.0,9781862074408,9781862074408,True
37,Covers_6518,Amazon_7610,Betrayal in Death,Betrayal in Death,1.0,9780425178577,9780425178577,True
38,Covers_3685,Amazon_8890,REAL FRANK ZAPPA BOOK,The Real Frank Zappa Book,0.9922118135829748,9780671705725,9780671705725,True
39,Covers_7098,Amazon_21168,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),Harry Potter and the Sorcerer's Stone,0.9197560819178616,9780590353427,9780590353427,True
40,Covers_4941,Amazon_13994,Chariots of the Gods?,Chariots of the Gods?,1.0000000000000002,9780425074817,9780425074817,True
41,Covers_1104,Amazon_11134,The Gift of Fear,The Gift of Fear,1.0000000000000002,9780440226192,9780440226192,True
42,Covers_6856,Amazon_21176,Eleventh Hour,The Eleventh Hour,0.9874925217129605,9780810932654,9780810932654,True
43,Covers_4981,Amazon_2650,Today I Feel Silly: And Other Moods That Make My Day,"Today I Feel Silly, and Other Moods That Make My Day",1.0,9780060245603,9780060245603,True
44,Covers_4016,Amazon_11099,Six Pillars of Self-Esteem,Six Pillars Of Self-Esteem,1.0,9780553374391,9780553374391,True
45,Covers_4847,Amazon_3985,The McKinsey Way,The McKinsey Way,1.0,9780070534483,9780070534483,True
46,Covers_2764,Amazon_13807,Satanic Rituals,Satanic Rituals,1.0,9780380013920,9780380013920,True
47,Covers_638,Amazon_21015,Destination Moon (The Adventures of Tintin),The Adventures of Tintin: Destination Moon,1.0000000000000002,9780316358453,9780316358453,True
48,Covers_5633,Amazon_9716,The Cake Bible,The Cake Bible,1.0,9780688044022,9780688044022,True
49,Covers_2925,Amazon_8882,Hollywood Babylon,Hollywood Babylon,1.0,9780440153252,9780440153252,True
50,Covers_6455,Amazon_2440,Arcadia,Arcadia,1.0,9780571169344,9780571169344,True
51,Covers_4243,Amazon_9135,The Complete Yes Prime Minister,The Complete Yes Prime Minister,1.0000000000000002,9780563207733,9780563207733,True
52,Covers_812,Amazon_18161,"So Long, and Thanks for All the Fish","So Long, and Thanks for All the Fish",0.9999999999999999,9780345391834,9780345391834,True
53,Covers_4264,Amazon_20425,"Path Between The Seas : The Creation of the Panama Canal, 1870-1914",Path Between the Seas: The Creation of the Panama Canal 1870 to 1914,0.9910244910914036,9780671244095,9780671244095,True
54,Covers_7877,Amazon_7211,Silence of the Lambs,Silence of the Lambs,1.0,9780312924584,9780312924584,True
55,Covers_3719,Amazon_16563,The Normal Christian Life,"Normal Christian Life, The",1.0000000000000004,9780842347105,9780842347105,True
56,Covers_1657,Amazon_17653,Worth Any Price,Worth Any Price,1.0000000000000004,9780380811076,9780380811076,True
57,Covers_6971,Amazon_21095,Flipped,Flipped,1.0,9780375825446,9780375825446,True
58,Covers_3576,Amazon_10774,300,300,1.0,9781569714027,9781569714027,True
59,Covers_5272,Amazon_3039,The Seven Storey Mountain,The Seven Storey Mountain,1.0,9780156010863,9780156010863,True
60,Covers_7151,Amazon_2635,How to Draw What You See,How To Draw What You See,1.0000000000000002,9780823023752,9780823023752,True
61,Covers_2593,Amazon_17506,The blue flower,The Blue Flower,1.0000000000000002,9780006550198,9780006550198,True
62,Covers_7356,Amazon_20961,Little House on the Prairie,Little House on the Prairie,1.0,9780064400022,9780064400022,True
63,Covers_8061,Amazon_2858,The Autobiography of Malcolm X,The Autobiography of Malcolm X,1.0000000000000002,9780345350688,9780345350688,True
64,Covers_5417,Amazon_10615,Donde viven los monstruos,Donde Viven Los Monstruos,1.0,9780064434225,9780064434225,True
65,Covers_4985,Amazon_20034,Quiet Loud,Quiet Loud,1.0,9780763619527,9780763619527,True
66,Covers_3761,Amazon_4347,Skunk Works : A Personal Memoir of My Years of Lockheed,Skunk Works: a Personal Memoir of My Years at Lockheed,0.9631422809277385,9780316743006,9780316743006,True
67,Covers_7825,Amazon_16483,Schindler's List,Schindler's List,1.0,9780671880316,9780671880316,True
68,Covers_4555,Amazon_15117,Dark Night of the Soul,Dark Night of the Soul,1.0,9780486426938,9780486426938,True
69,Covers_4997,Amazon_589,The Structure of Magic: A Book About Language and Therapy (Structure of Magic),The Structure of Magic: A Book About Language and Therapy v. 1,0.9450879986169463,9780831400446,9780831400446,True
70,Covers_4257,Amazon_3018,The 48 Laws of Power,The 48 Laws of Power,1.0000000000000002,9780140280197,9780140280197,True
71,Covers_949,Amazon_3925,People Skills,People Skills,1.0000000000000002,9780671622480,9780671622480,True
72,Covers_7618,Amazon_1068,Pale Blue Dot: A Vision of the Human Future in Space,Pale Blue Dot: a Vision of the Human Future in Space,1.0000000000000002,9780345376596,9780345376596,True
73,Covers_6031,Amazon_6813,The Complete Manual of Woodworking,The Complete Manual of Woodworking,1.0000000000000002,9780679766117,9780679766117,True
74,Covers_4998,Amazon_883,The Structure of Magic: A Book About Communication and Change (Book 2),The Structure of Magic: A Book About Communication and Change v. 2,0.979253984165044,9780831400491,9780831400491,True
75,Covers_3034,Amazon_13679,Exploring the World of Lucid Dreaming,Exploring The World Of Lucid Dreaming,1.0000000000000004,9780345374103,9780345374103,True
76,Covers_1,Amazon_7614,Purity in Death,Purity in Death,1.0,9780425186305,9780425186305,True
77,Covers_8208,Amazon_4917,The Doorbell Rang,The Doorbell Rang,1.0,9780688092344,9780688092344,True
78,Covers_810,Amazon_4619,The Butterfly Lion,The Butterfly Lion,1.0,9780006751038,9780006751038,True
79,Covers_3638,Amazon_15695,Breakthrough Rapid Reading,Breakthrough Rapid Reading,1.0,9780735200197,9780735200197,True
80,Covers_5074,Amazon_12059,A People's Tragedy: The Russian Revolution : 1891-1924,A People's Tragedy: the Russian Revolution:1891-1924,1.0000000000000004,9780140243642,9780140243642,True
81,Covers_7847,Amazon_16691,Separate Reality,A Separate Reality,1.0,9780671732493,9780671732493,True
82,Covers_593,Amazon_11025,Teach Your Child to Read in 100 Easy Lessons,Teach Your Child to Read in 100 Easy Lessons,1.0,9780671631987,9780671631987,True
83,Covers_3381,Amazon_7905,The Quick and Easy Way to Effective Speaking,The Quick and Easy Way to Effective Speaking,1.0000000000000002,9780671724009,9780671724009,True
84,Covers_8544,Amazon_21543,The Sea Hunters II,The Sea Hunters II,1.0000000000000004,9780425193723,9780425193723,True
85,Covers_8268,Amazon_2100,The Gashlycrumb Tinies,The Gashlycrumb Tinies,1.0,9780151003082,9780151003082,True
86,Covers_2331,Amazon_13535,Satanic Bible,Satanic Bible,1.0000000000000002,9780380015399,9780380015399,True
87,Covers_2249,Amazon_14688,One Hundred Ways for a Cat to Train Its Human,One Hundred Ways for a Cat to Train Its Human,1.0000000000000002,9780340786055,9780340786055,True
88,Covers_5509,Amazon_15061,The Collected Poems of W. B. Yeats,The Collected Poems of W.B. Yeats,1.0,9781853264542,9781853264542,True
89,Covers_1913,Amazon_1204,Are You My Mother?,Are You My Mother?,1.0000000000000002,9780394800189,9780394800189,True
90,Covers_1113,Amazon_20710,The Egg and I,The Egg and I,1.0,9780060914288,9780060914288,True
91,Covers_4223,Amazon_20344,"Tracks: A Woman's Solo Trek Across 1,700 Miles of Australian Outback (Vintage Departures)","Tracks: a Woman's Solo Trek across 1, 700 Miles of Australian Outback",0.9208126953413968,9780679762874,9780679762874,True
92,Covers_5376,Amazon_15062,The World's Wife,The World's Wife,1.0000000000000002,9780330372220,9780330372220,True
93,Covers_274,Amazon_13099,The Authoritative Calvin and Hobbes (Calvin and Hobbes),The Authoritative Calvin and Hobbes,0.9600774391801182,9780836218220,9780836218220,True
94,Covers_2659,Amazon_2044,Keys to Drawing,Keys to Drawing,1.0,9780891343370,9780891343370,True
95,Covers_2876,Amazon_7894,A Poetry Handbook,Poetry Handbook,1.0,9780156724005,9780156724005,True
96,Covers_308,Amazon_17406,Again The Magic,Again the Magic,1.0,9780380811083,9780380811083,True
97,Covers_3727,Amazon_11407,Boundaries in Dating,Boundaries in Dating,1.0,9780310200345,9780310200345,True
98,Covers_4500,Amazon_19433,The Yoga Deck,The Yoga Deck,1.0000000000000002,9780811828895,9780811828895,True
99,Covers_2130,Amazon_19571,"Magic Eye, Vol. 2",Magic Eye: Vol 2,1.0000000000000002,9780836270099,9780836270099,True
100,Covers_5721,Amazon_15704,The Master Book of Herbalism,The Master Book of Herbalism,1.0000000000000002,9780919345539,9780919345539,True
101,Covers_8870,Amazon_13189,Without Feathers,Without Feathers,1.0000000000000002,9780345336972,9780345336972,True
102,Covers_8569,Amazon_13768,The Silva Mind Control Method,Silva Mind Control Method,0.9928402239059742,9780671739898,9780671739898,True
103,Covers_5579,Amazon_5436,The Soul Of A New Machine,The Soul of a New Machine,1.0,9780316491976,9780316491976,True
104,Covers_6413,Amazon_10888,Amphigorey,Amphigorey,1.0,9780399504334,9780399504334,True
105,Covers_937,Amazon_12993,Unadulterated Cat,The Unadulterated Cat,0.9879726726320766,9780752853697,9780752853697,True
106,Covers_4440,Amazon_22004,"The Loss of the Ship Essex, Sunk by a Whale (Penguin Classics)",The Loss of the Ship Essex Sunk By a Whale,0.9430321971358726,9780140437966,9780140437966,True
107,Covers_2583,Amazon_16287,The Cost of Discipleship,The Cost of Discipleship,1.0,9780684815008,9780684815008,True
108,Covers_1058,Amazon_14125,Book of Thoth,Book of Thoth,1.0,9780877282686,9780877282686,True
109,Covers_3280,Amazon_22684,Conquest of New Spain (Classics S.),The Conquest of New Spain,0.928606058427131,9780140441239,9780140441239,True
110,Covers_2690,Amazon_18107,Servant of the Empire,Servant of the Empire,1.0,9780553292459,9780553292459,True
111,Covers_7315,Amazon_8001,Le Petit Nicolas,Le petit Nicolas,1.0,9782070364237,9782070364237,True
112,Covers_5897,Amazon_942,Meditation Made Easy,Meditation Made Easy,1.0,9780062515421,9780062515421,True
113,Covers_5675,Amazon_14302,Retired Racing Greyhounds for Dummies,Retired Racing Greyhounds For Dummies,1.0000000000000002,9780764552762,9780764552762,True
114,Covers_5257,Amazon_9661,Essentials of Classic Italian Cooking,Essentials of Classic Italian Cooking,1.0000000000000004,9780394584041,9780394584041,True
115,Covers_4465,Amazon_369,Play Therapy,Play Therapy,1.0,9780345303356,9780345303356,True
116,Covers_1620,Amazon_16789,Return from Tomorrow,Return from Tomorrow,1.0,9780800784126,9780800784126,True
117,Covers_1434,Amazon_12395,Getting to 'I Do',Getting to I Do,1.0000000000000002,9780380718153,9780380718153,True
118,Covers_8077,Amazon_11967,The Best and the Brightest,Best And The Brightest,0.9886246689735911,9780449908709,9780449908709,True
119,Covers_8802,Amazon_14150,Walden and Other Writings,Walden And Other Writings,1.0,9780553212464,9780553212464,True
120,Covers_6795,Amazon_1471,Desert Solitaire,Desert Solitaire,1.0,9780345326492,9780345326492,True
121,Covers_7217,Amazon_3408,In a Sunburned Country,In A Sunburned Country,1.0,9780767903868,9780767903868,True
122,Covers_6204,Amazon_1606,"Quantum Theory, A Very Short Introduction",Quantum Theory: A Very Short Introduction,1.0000000000000002,9780192802521,9780192802521,True
123,Covers_5067,Amazon_11787,"New Selected Poems, 1966-1987",New Selected Poems 1966-1987,1.0,9780571143726,9780571143726,True
124,Covers_3536,Amazon_21206,Zombie Butts From Uranus!,Zombie Butts from Uranus!,1.0000000000000002,9780439424707,9780439424707,True
125,Covers_8297,Amazon_13573,The Greatest Salesman in the World,Greatest Salesman In The World,0.9901226505333153,9780553277579,9780553277579,True
126,Covers_7268,Amazon_7066,Jurassic Park,Jurassic Park,1.0,9780345370778,9780345370778,True
127,Covers_5123,Amazon_15521,"Burning in Water, Drowning in Flame","Burning in Water, Drowning in Flame",1.0,9780876851913,9780876851913,True
128,Covers_6039,Amazon_11641,Age of Extremes,The Age Of Extremes,0.9884078598570318,9780349106717,9780349106717,True
129,Covers_3033,Amazon_11993,The Gods of Eden,Gods of Eden,0.9851175693085592,9780380718078,9780380718078,True
130,Covers_499,Amazon_2101,The Letters of Vincent Van Gogh (Penguin Classics),The Letters of Vincent Van Gogh,0.9151719396068975,9780140446746,9780140446746,True
131,Covers_6389,Amazon_4725,"Alexander And The Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",1.0000000000000002,9780689711732,9780689711732,True
132,Covers_4884,Amazon_2531,Towards a New Architecture,Towards a New Architecture,1.0,9780486250236,9780486250236,True
133,Covers_8597,Amazon_8807,The Story of the Trapp Family Singers,The Story of the Trapp Family Singers,1.0,9780060005771,9780060005771,True
134,Covers_5156,Amazon_455,The Primal Wound: Understanding the Adopted Child,The Primal Wound: Understanding the Adopted Child,1.0,9780963648006,9780963648006,True
135,Covers_1063,Amazon_8805,Puckoon,Puckoon,1.0,9780140023749,9780140023749,True
136,Covers_8132,Amazon_5037,The Cat in the Hat,The Cat in the Hat,1.0000000000000002,9780394800011,9780394800011,True
137,Covers_1348,Amazon_5090,Pat the Bunny (Touch and Feel Book),Pat the Bunny: Touch n Feel,0.9596915988904114,9780307120007,9780307120007,True
138,Covers_8096,Amazon_13112,The Book of Bunny Suicides,The Book of Bunny Suicides,1.0,9780452285187,9780452285187,True
139,Covers_3175,Amazon_13816,WISDOM OF FLORENCE SCOVEL SHINN,Wisdom of Florence Scovel Shinn,1.0,9780671682286,9780671682286,True
140,Covers_2066,Amazon_11626,Diplomacy,Diplomacy,1.0,9780671510992,9780671510992,True
141,Covers_6180,Amazon_6071,Expert C Programming,Expert C Programming,1.0,9780131774292,9780131774292,True
142,Covers_1040,Amazon_21009,Captain Underpants and the Wrath of the Wicked Wedgie Woman,Captain Underpants and the Wrath of the Wicked Wedgie Woman,1.0000000000000002,9780439050005,9780439050005,True
143,Covers_5113,Amazon_12509,Permaculture in a Nutshell,Permaculture in a Nutshell,1.0,9781856230032,9781856230032,True
144,Covers_8227,Amazon_7215,The English Assassin,The English Assassin,1.0,9780451208187,9780451208187,True
145,Covers_1807,Amazon_359,The Man Who Mistook His Wife For A Hat : And Other Clinical Tales,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,1.0,9780684853949,9780684853949,True
146,Covers_2771,Amazon_239,The Feeling Good Handbook,The Feeling Good Handbook,1.0000000000000002,9780452281325,9780452281325,True
147,Covers_680,Amazon_13479,Jemima J,Jemima J.,1.0,9780140276909,9780140276909,True
148,Covers_5316,Amazon_1711,We Have Never Been Modern,We Have Never Been Modern,1.0,9780674948396,9780674948396,True
149,Covers_3691,Amazon_12483,Lost Gardens Of Heligan,The Lost Gardens Of Heligan,0.9914550381171414,9780575402454,9780575402454,True
150,Covers_3422,Amazon_5715,"An Introduction to Information Theory: Symbols, Signals and Noise","An Introduction to Information Theory, Symbols, Signals and Noise",1.0000000000000002,9780486240619,9780486240619,True
151,Covers_8362,Amazon_17819,The Last Unicorn,The Last Unicorn,1.0,9780451450524,9780451450524,True
