,covers_id,goodreads_id,covers_title,goodreads_title,similarity_score,covers_isbn,goodreads_isbn,is_match
0,Covers_1430,Goodreads_books_941,The Rose and The Beast: Fairy Tales Retold,The Rose and the Beast: Fairy Tales Retold,1.0000000000000002,0064407454,0064407454,True
1,Covers_4743,Goodreads_books_28740,The Golden Barbarian,The Golden Barbarian,1.0,0553296043,0553296043,True
2,Covers_7072,Goodreads_books_14580,Green Mars,Green Mars,1.0,0553572393,0553572393,True
3,Covers_2541,Goodreads_books_36273,Beauty and Sadness,Beauty and Sadness,1.0,0679761055,0679761055,True
4,Covers_4203,Goodreads_books_5078,When All the World Was Young,When All the World Was Young,1.0,156352001X,156352001X,True
5,Covers_969,Goodreads_books_34255,The Invisible Ring,The Invisible Ring,1.0,0451458028,0451458028,True
6,Covers_2592,Goodreads_books_3948,The Neon Bible,The Neon Bible,1.0000000000000002,0802132073,0802132073,True
7,Covers_4442,Goodreads_books_5044,The Norton Book of Women's Lives,The Norton Book of Women's Lives,1.0,0393312909,0393312909,True
8,Covers_8483,Goodreads_books_17917,"The Pope and the Heretic : The True Story of Giordano Bruno, the Man Who Dared to Defy the Roman Inquisition","The Pope and the Heretic: The True Story of Giordano Bruno, the Man Who Dared to Defy the Roman Inquisition",1.0,0060933887,0060933887,True
9,Covers_5921,Goodreads_books_4195,Tuf Voyaging,Tuf Voyaging,1.0000000000000002,1592220053,1592220053,True
10,Covers_5322,Goodreads_books_5189,The Order of Things: An Archaeology of the Human Sciences,The Order of Things: An Archaeology of the Human Sciences,1.0,0679753354,0679753354,True
11,Covers_7879,Goodreads_books_21025,Silent Partner,Silent Partner,1.0,0345460685,0345460685,True
12,Covers_8301,Goodreads_books_103,The Gun Seller,The Gun Seller,1.0000000000000004,067102082X,067102082X,True
13,Covers_7431,Goodreads_books_38643,Maya,Maya,1.0,0753811464,0753811464,True
14,Covers_5580,Goodreads_books_25048,Darien: Guardian Angel Of Jesus,Darien: Guardian Angel of Jesus,1.0,0849940125,0849940125,True
