,covers_id,goodreads_id,covers_title,goodreads_title,similarity_score,covers_isbn,goodreads_isbn,is_match
0,Covers_1856,Goodreads_books_3308,Lying on the Couch : A Novel,Lying on the Couch,0.9478584544064406,0060928514,0060928514,True
1,Covers_1387,Goodreads_books_6138,"Cardcaptor Sakura, Master of the Clow (1)","Cardcaptor Sakura: Master of the Clow, Vol. 1",0.9632029433686063,1892213753,1892213753,True
2,Covers_95,Goodreads_books_30966,A Heartbreaking Work of Staggering Genius,A Heartbreaking Work of Staggering Genius,0.9999999999999999,0375725784,0375725784,True
3,Covers_6526,Goodreads_books_18035,Big Red,Big Red,1.0,0553154346,0553154346,True
4,Covers_5545,Goodreads_books_5312,The Bird in the Tree,The Bird in the Tree,1.0000000000000002,0892837586,0892837586,True
5,Covers_3802,Goodreads_books_12922,"Tough Times Never Last, but Tough People Do!","Tough Times Never Last, but Tough People Do!",1.0000000000000002,0553273329,0553273329,True
6,Covers_782,Goodreads_books_18555,The Discoverers: A History of Man's Search to Know His World and Himself,The Discoverers: A History of Man's Search to Know His World and Himself,1.0,0394726251,0394726251,True
7,Covers_4364,Goodreads_books_14181,The Biggest Secret: The Book That Will Change the World,The Biggest Secret: The Book That Will Change the World,1.0,0952614766,0952614766,True
8,Covers_163,Goodreads_books_7729,"Between Silk and Cyanide: A Codemaker's War, 1941-1945","Between Silk and Cyanide: A Codemaker's War, 1941-1945",1.0000000000000002,068486780X,068486780X,True
9,Covers_6980,Goodreads_books_9318,For the Time Being,For the Time Being,1.0,0375703470,0375703470,True
10,Covers_6686,Goodreads_books_13471,Clouds of Witness,Clouds of Witness,1.0000000000000002,0061043532,0061043532,True
11,Covers_7732,Goodreads_books_5451,Raising Abel,Raising Abel,1.0,0446610976,0446610976,True
12,Covers_3949,Goodreads_books_903,Do They Hear You When You Cry,Do They Hear You When You Cry,1.0000000000000002,0385319940,0385319940,True
13,Covers_3758,Goodreads_books_4403,"The Minority Report (The Collected Stories of Philip K. Dick, Vol. 4)",The Collected Stories of Philip K. Dick 4: The Minority Report,0.9672851549291029,0806512768,0806512768,True
14,Covers_769,Goodreads_books_4596,Betsy and Tacy Go Over the Big Hill (Betsy-Tacy),Betsy and Tacy Go Over the Big Hill,0.9457447806316002,0064400999,0064400999,True
15,Covers_5371,Goodreads_books_16300,Starfollowers of Coramonde,The Starfollowers of Coramonde,0.9925471474576728,0345274954,0345274954,True
16,Covers_6714,Goodreads_books_25463,Coyote Blue,Coyote Blue,0.9999999999999998,0060735430,0060735430,True
17,Covers_3382,Goodreads_books_13443,How To Enjoy Your Life And Your Job,How To Enjoy Your Life And Your Job,1.0000000000000002,0671708260,0671708260,True
18,Covers_6427,Goodreads_books_30472,And Then There Were None,And Then There Were None,1.0,0312330871,0312330871,True
19,Covers_1579,Goodreads_books_287,The Birth Order Book: Why You Are The Way You Are,The Birth Order Book: Why You Are the Way You Are,1.0000000000000002,080075977X,080075977X,True
20,Covers_4953,Goodreads_books_38904,Now Wait for Last Year,Now Wait for Last Year,1.0,0679742204,0679742204,True
21,Covers_7821,Goodreads_books_5626,Saving Faith,Saving Faith,1.0,0446608890,0446608890,True
22,Covers_6188,Goodreads_books_15252,Seasons of Life,The Seasons of Life,0.9808910936731335,0939490005,0939490005,True
23,Covers_625,Goodreads_books_24532,The Unwanted,The Unwanted,1.0,0553266578,0553266578,True
24,Covers_468,Goodreads_books_9338,Confessions of a Dangerous Mind : An Unauthorized Autobiography,Confessions of a Dangerous Mind: An Unauthorized Autobiography,1.0,0786888083,0786888083,True
25,Covers_5454,Goodreads_books_25848,Uller Uprising,Uller Uprising,1.0,0441842925,0441842925,True
26,Covers_5061,Goodreads_books_24098,A Cure for Dreams,A Cure for Dreams,1.0000000000000002,0945575335,0945575335,True
27,Covers_1796,Goodreads_books_2612,The Want-Ad Killer,The Want-Ad Killer,1.0,0451166884,0451166884,True
28,Covers_1778,Goodreads_books_5182,Cluster,Cluster,1.0,0380017555,0380017555,True
29,Covers_8677,Goodreads_books_39168,The Wheel of Fortune,The Wheel of Fortune,1.0000000000000002,0449206246,0449206246,True
30,Covers_2258,Goodreads_books_29535,The Nutmeg of Consolation,The Nutmeg of Consolation,1.0000000000000002,0393309061,0393309061,True
31,Covers_2662,Goodreads_books_15509,I : The Creation of a Serial Killer,I: The Creation of a Serial Killer,1.0,0312241984,0312241984,True
32,Covers_7910,Goodreads_books_20225,Snowfire,Snowfire,1.0,0449214486,0449214486,True
33,Covers_3485,Goodreads_books_38998,"Five Plays: Ivanov, the Seagull, Uncle Vanya, Three Sisters, and the Cherry Orchard (Oxford World's Classics)",Five Plays: Ivanov / The Seagull / Uncle Vanya / The Three Sisters / The Cherry Orchard,0.9314751967659284,0192834126,0192834126,True
34,Covers_6675,Goodreads_books_17406,Christ: A Crisis in the Life of God,Christ: A Crisis in the Life of God,1.0000000000000004,0679781609,0679781609,True
35,Covers_6229,Goodreads_books_24930,Moon: The Life and Death of a Rock Legend,Moon: The Life and Death of a Rock Legend,1.0000000000000002,0380788276,0380788276,True
36,Covers_2846,Goodreads_books_10999,The Breeds of Man,The Breeds Of Man,1.0,0553270087,0553270087,True
37,Covers_2284,Goodreads_books_33688,The Ground Beneath Her Feet : A Novel,The Ground Beneath Her Feet,0.9569591212592448,0312254997,0312254997,True
38,Covers_532,Goodreads_books_33096,Esperanza Rising,Esperanza Rising,1.0,043912042X,043912042X,True
39,Covers_4048,Goodreads_books_13260,Nostradamus Ate My Hamster,Nostradamus Ate My Hamster,1.0,0552143553,0552143553,True
40,Covers_8001,Goodreads_books_3672,Syrup,Syrup,1.0,0140291873,0140291873,True
41,Covers_7020,Goodreads_books_4336,Gemini Contenders,The Gemini Contenders,0.9912961880548286,0553282093,0553282093,True
42,Covers_6680,Goodreads_books_19470,Circuit of Heaven,Circuit of Heaven,1.0,0380790920,0380790920,True
43,Covers_8243,Goodreads_books_33286,The Fifth Mountain,The Fifth Mountain,1.0000000000000002,0060930136,0060930136,True
44,Covers_8742,Goodreads_books_12253,To See You Again: A True Story of Love in a Time of War,To See You Again: A True Story of Love in a Time of War,1.0000000000000002,0452280710,0452280710,True
45,Covers_6668,Goodreads_books_37722,Children of the Night,Children of the Night,1.0,0446364754,0446364754,True
46,Covers_5425,Goodreads_books_28901,Theology for Beginners,Theology for Beginners,1.0000000000000002,0892831243,0892831243,True
