,amazon_id,goodreads_id,amazon_title,goodreads_title,similarity_score,amazon_isbn,goodreads_isbn,is_match
0,Amazon_10856,Goodreads_books_35064,"Ouran High School Host Club, Vol. 1","Ouran High School Host Club, Vol. 1",1.0,9781591169154,9781591169154,True
1,Amazon_15158,Goodreads_books_1030,The Last Night of the Earth Poems,The Last Night of the Earth Poems,1.0000000000000002,9780876858639,9780876858639,True
2,Amazon_5069,Goodreads_books_11448,Teaching My Mother How to Give Birth,Teaching My Mother How to Give Birth,1.0000000000000002,9781905233298,9781905233298,True
3,Amazon_17269,Goodreads_books_5232,Bonds of Justice,Bonds of Justice,1.0,9780425235447,9780425235447,True
4,Amazon_9528,Goodreads_books_10480,Little Beach Street Bakery,Little Beach Street Bakery,1.0000000000000004,9780751549218,9780751549218,True
5,Amazon_11726,Goodreads_books_34699,The Wretched of the Earth,The Wretched of the Earth,1.0000000000000004,9780802141323,9780802141323,True
6,Amazon_4477,Goodreads_books_30606,Paper Towns,Paper Towns,1.0,9780142414934,9780142414934,True
7,Amazon_3319,Goodreads_books_34621,"Speak, Memory","Speak, Memory",1.0,9780141183220,9780141183220,True
8,Amazon_17215,Goodreads_books_35537,Dawn on a Distant Shore,Dawn on a Distant Shore,1.0000000000000002,9780553578553,9780553578553,True
9,Amazon_7214,Goodreads_books_30652,Ready Player One,Ready Player One,1.0,9780307887436,9780307887436,True
10,Amazon_9873,Goodreads_books_23389,A Bird in the Hand,A Bird in the Hand,1.0,9781845338961,9781845338961,True
11,Amazon_2500,Goodreads_books_15366,Poetics,Poetics,1.0,9780140446364,9780140446364,True
12,Amazon_15819,Goodreads_books_37433,A Little History of the World,A Little History of the World,1.0000000000000004,9780300108835,9780300108835,True
13,Amazon_18101,Goodreads_books_33972,Foundation And Earth,Foundation and Earth,1.0000000000000002,9780553587579,9780553587579,True
14,Amazon_13175,Goodreads_books_26154,Book Love,Book Love,1.0,9781449494285,9781449494285,True
15,Amazon_18182,Goodreads_books_14580,Green Mars,Green Mars,1.0,9780553572391,9780553572391,True
16,Amazon_17274,Goodreads_books_69,Devil's Cub,Devil's Cub,1.0,9780099465836,9780099465836,True
17,Amazon_16287,Goodreads_books_32783,The Cost of Discipleship,The Cost of Discipleship,1.0000000000000002,9780684815008,9780684815008,True
18,Amazon_3341,Goodreads_books_30009,Close Encounters of the Furred Kind,Close Encounters of the Furred Kind,1.0000000000000002,9780751560022,9780751560022,True
19,Amazon_17133,Goodreads_books_12401,The Horse Dancer,The Horse Dancer,1.0000000000000002,9780340961605,9780340961605,True
20,Amazon_12910,Goodreads_books_36133,Weird Things Customers Say in Bookshops,Weird Things Customers Say in Bookshops,1.0,9781780334837,9781780334837,True
21,Amazon_5245,Goodreads_books_22043,On the Night You Were Born,On the Night You Were Born,1.0,9780312346065,9780312346065,True
22,Amazon_17515,Goodreads_books_32535,Narcissus in Chains,Narcissus in Chains,1.0000000000000002,9780515133875,9780515133875,True
23,Amazon_4516,Goodreads_books_2683,Auggie & Me: Three Wonder Stories,Auggie & Me: Three Wonder Stories,1.0,9780552574778,9780552574778,True
24,Amazon_3359,Goodreads_books_12634,The World According to Clarkson,The World According to Clarkson,1.0,9780141017891,9780141017891,True
25,Amazon_15025,Goodreads_books_36613,Twelve Angry Men,Twelve Angry Men,1.0,9780143104407,9780143104407,True
26,Amazon_4658,Goodreads_books_30909,A Monster Calls,A Monster Calls,1.0,9781406361803,9781406361803,True
