,amazon_id,goodreads_id,amazon_title,goodreads_title,similarity_score,amazon_isbn,goodreads_isbn,is_match
0,Amazon_17215,Goodreads_books_35537,Dawn on a Distant Shore,Dawn on a Distant Shore,1.0000000000000002,9780553578553,9780553578553,True
1,Amazon_14984,Goodreads_books_38742,How to Stop Worrying and Start Living,How to Stop Worrying and Start Living,1.0,9780671035976,9780671035976,True
2,Amazon_18029,Goodreads_books_18592,The Complete Chronicles Of Conan,The Complete Chronicles of Conan,1.0,9780575077669,9780575077669,True
3,Amazon_7299,Goodreads_books_12926,Sometimes I Lie,Sometimes I Lie,1.0,9780008225353,9780008225353,True
4,Amazon_21200,Goodreads_books_11403,Cool!,Cool!,1.0,9780007131044,9780007131044,True
5,Amazon_9873,Goodreads_books_23389,A Bird in the Hand,A Bird in the Hand,1.0,9781845338961,9781845338961,True
6,Amazon_17094,Goodreads_books_36730,Enduring Love,Enduring Love,1.0,9780099481249,9780099481249,True
7,Amazon_10403,Goodreads_books_28856,"Black Butler, Vol. 4","Black Butler, Vol. 4",1.0,9780316084284,9780316084284,True
8,Amazon_19949,Goodreads_books_22947,Deschooling Society,Deschooling Society,1.0,9780714508795,9780714508795,True
9,Amazon_11726,Goodreads_books_34699,The Wretched of the Earth,The Wretched of the Earth,1.0000000000000004,9780802141323,9780802141323,True
10,Amazon_10562,Goodreads_books_24864,The Walking Dead Volume 14: No Way Out,"The Walking Dead, Vol. 14: No Way Out",0.9109186933339869,9781607063926,9781607063926,True
11,Amazon_15071,Goodreads_books_30497,The Count of Monte Cristo,The Count of Monte Cristo,1.0000000000000002,9780140449266,9780140449266,True
12,Amazon_10570,Goodreads_books_4221,Scott Pilgrim: Scott Pilgrim and the Infinite Sadness v. 3,"Scott Pilgrim, Volume 3: Scott Pilgrim & The Infinite Sadness",0.9725937468661255,9781932664225,9781932664225,True
13,Amazon_20840,Goodreads_books_34669,Cabin Fever,Cabin Fever,1.0000000000000002,9781419702235,9781419702235,True
14,Amazon_1471,Goodreads_books_32236,Desert Solitaire,Desert Solitaire,1.0000000000000002,9780345326492,9780345326492,True
15,Amazon_10964,Goodreads_books_8985,Wires and Nerve,Wires and Nerve,1.0,9781250078261,9781250078261,True
16,Amazon_409,Goodreads_books_19114,Playing and Reality,Playing and Reality,1.0,9780415345460,9780415345460,True
17,Amazon_12910,Goodreads_books_36133,Weird Things Customers Say in Bookshops,Weird Things Customers Say in Bookshops,1.0,9781780334837,9781780334837,True
18,Amazon_17515,Goodreads_books_32535,Narcissus in Chains,Narcissus in Chains,1.0000000000000002,9780515133875,9780515133875,True
19,Amazon_15317,Goodreads_books_1584,Death and the Maiden,Death and the Maiden,1.0,9780140246841,9780140246841,True
20,Amazon_4780,Goodreads_books_31077,I Am The Messenger,I Am the Messenger,1.0,9780375836671,9780375836671,True
21,Amazon_8558,Goodreads_books_34055,Kira-Kira,Kira-Kira,1.0,9780689856402,9780689856402,True
22,Amazon_5069,Goodreads_books_11448,Teaching My Mother How to Give Birth,Teaching My Mother How to Give Birth,1.0000000000000002,9781905233298,9781905233298,True
23,Amazon_17274,Goodreads_books_69,Devil's Cub,Devil's Cub,1.0,9780099465836,9780099465836,True
24,Amazon_17739,Goodreads_books_30398,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and the Lord of the Rings,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1.0,9780345538376,9780345538376,True
25,Amazon_3256,Goodreads_books_20344,The Night the Angels Came,The Night the Angels Came,1.0,9780007442621,9780007442621,True
26,Amazon_7782,Goodreads_books_27696,Divided In Death,Divided in Death,1.0000000000000002,9780425197950,9780425197950,True
27,Amazon_10888,Goodreads_books_21664,Amphigorey,Amphigorey,1.0,9780399504334,9780399504334,True
28,Amazon_17797,Goodreads_books_32897,Gardens of the Moon,Gardens of the Moon,1.0000000000000004,9780765348784,9780765348784,True
29,Amazon_17133,Goodreads_books_12401,The Horse Dancer,The Horse Dancer,1.0000000000000002,9780340961605,9780340961605,True
30,Amazon_17516,Goodreads_books_38065,Emily's Quest,Emily's Quest,1.0,9780553264937,9780553264937,True
31,Amazon_10297,Goodreads_books_31291,Lady Midnight,Lady Midnight,1.0000000000000002,9781442468351,9781442468351,True
32,Amazon_21188,Goodreads_books_29488,An Elephant in the Garden,An Elephant in the Garden,1.0,9780007339587,9780007339587,True
33,Amazon_17333,Goodreads_books_3474,The Darkest Touch,The Darkest Touch,1.0,9780373778911,9780373778911,True
34,Amazon_16756,Goodreads_books_9759,Revealing Heaven,Revealing Heaven,1.0000000000000002,9781602665163,9781602665163,True
