"Blocking Key Value","Frequency"
"THEMEMA,THEGUAL,THEWORO,THEWOJA,THEHIDO,THEHIEL,THEMAAN,THEHOMI","28"
"THELARO,THESTRO,THEDEDA,THECAJO","27"
"THEPRNI,DRACUBR,THEGIRO,THEENDA","25"
"THELICH,THEWIMA,THECOCA,HOWTORO,THEADHE,OTHELWI,THEWOMA,SENSEJA,THEBODA,MURDEAG,GREATCH,PREACGA,PARADJO,THEREKA,THEMAJA,JAMESJA,THEGRPA,THEFIJO,THECALA","24"
"ONEPIEI","22"
"ROMEOWI,JANEECH,THEPOJO,THESERO,THELOJO,THERAMA,FOUNDIS,THENEMI,WILLIWI,FIRSTRO,THEHOMA","21"
"THECOTE,THECOBE,HOWTOFR,HOWTOCR,THEWHJO,PIPPIAS,THEHEMA,THESEST,THEWOGE,THEBRMA,THEHAHA,WHEREJO,THEPEJA,THEREMI,CALVIBI,THEWAJO,EVERYDA,THESTMA,NARUTMA,THENEJO","20"
"CHICKJA","19"
"THEWIJA,THELIMA,THEORCH,THECOAN,THETABE,HOWTOLE,MANSFJA,THEARJA,THEARJO,THEARJU,NATIONA,THEKIMA,THEHODA,NIGHTEL,HEARTJO,DEATHAR,THEDISC,AMIDSWI,THEMAPE,THEMARI,THENERO,THEFOJO,TINTIHE,MOOMITO","18"
"THECOGE,THECOSU,CHARLRO,THEWIRO,THEWIPA,HOWTODE,HOWTOLI,HOWTOST,HOWTOTO,THEBEMA,THESEDA,THETIMA,THEHAMA,DEATHMA,DAVIDDA,THEMACH,THEHOJO","16"
"ALICELE","120"
"THREELI,THECHMA,THEBENA,ONTHEMA,ROALDRO,FAMOUEN,THEHEJO,THESEKA,THESEPA,THELOAL,THEDAJO,THEDADA,THEINST,THEINCA,THESHRO,THEREAN,EVERYMA,THEMAJE,THEDIDA,MICHEMI,ALLTHJA,THEROJO,MERRIME","15"
"THELAJA","117"
"THECOJA,THECOFR,THECORI,THEWIKA,HOWTOAN,THELEDA,MICHAMI,DONTSRI,THEBOCH,ANIMAGE,THEGIDA,THESIMA,THEILHO,THEREPA,THESTAL,THEDEMA","14"
"THECORO","102"
"THEDEJO,THECALI","13"
"THEMAMA","99"
"THEWIAN,THELIAL,THEBLJA,THENOMA,THEWICH,THECOJU,THELIJU,THEBLMI,THECOSH,WHATTDA,ROBERRO,THECODO,OFMICJO,THELISA,THEMIRO,BLACKMA,HOWTONI,HOWTOKA,BLACKJO,HOWTOLA,HOWTOWI,THEADMA,THEPRJO,THEBIMI,THEQUDA,THEDOAL,GOODNMA,THEPOAN,THECHJO,TRAVEJO,THEBESY,THEPORO,THESESI,THEARWI,MANSSVI,THESETH,THEARMI,THEARKE,THELORO,SUPERDA,THELODA,STEPHST,THEANRI,THEBOJE,THEMOJO,THEBOKA,THEKIDA,THEBOCA,THEMOAN,MAISYLU,HEARTNO,THEINJO,THERIJO,LITTLCH,THEINAN,THEPARO,THEPACH,MAGICMA,SPOTGER,THESHJA,THESHJO,ACHRICH,THEUNCH,THEREAL,THEREDA,BLOODRI,THEWAAL,THELAAL,THESTDA,EVERYJO,THESTMI,THEGRAN,THENEJA,THENEPE,THEGOEL,THEGORO,THEFIDA,THETRLO,THESOJA,THEFIMA,THECASA,THECAER,THECACA,THECADR,THECADA","12"
"THEBEST,GARFIJI","96"
"THEPRMA,THEBEJO","11"
"THEMADA","91"
"THEDRMA,THECOGI,THEBLJO,THELIJA,THEDRRO,LEONALE,TEACHJO,HOWTOSA,PRACTJO,THEBIJO,THEPOCH,MADAMGU,CAMBRCA,THEBERO,THEARAL,ASTORGE,THEARSU,THEWOSU,ASSASRO,DREAMCH,CLIFFNO,CURIOMA,OXFORJO,THEMODA,THEBOAN,THEDACH,AMELIPE,NIGHTJO,ABRIEST,THEGIPA,THEGIST,THETOJO,THERIGE,THEHIPE,KAFFEKA,LITTLMA,LITTLLA,FANTARO,THEWATS,THELANI,THEMANO,THEGRJU,MASTEDA,GETTIRO,THEGOMA,THESOMA,THECARO,THESPJO","10"
"CAPTADA,THELAJO","90"
"THEBOMA","88"
"FRANKMA","84"
"THECOMI","81"
"HARRYJK","552"
"LONELLO","510"
"ASTERRE","297"
"HOWTODA","294"
"THECOJO","266"
"HOWTOJO","238"
"HOWTOMA","182"
"THECOCH","150"
"THEWARO","123"
"THECOAL","121"
"THEWIEL,THEWIJE,THEBLNA,THEWIST,THEMITH,TREASRO,THESEGA,THESEHE,THESESA,THEULMA,THEBRBA,THEWOAL,THETEWI,LIVINMA,THEGAMA,THETEAN,THEANWI,LEAVEWA,THECRJU,THESODA,CONVENE,THERIPA,THESIPA,THEPAJO,GERONGE,THEIMOS,THEASTH,LOOKIJO,THEFARO,THELATI,THECHCH,THEMAPH,THEMALI,THEFODO,SONGSWI,THETUHE,THEGOJA,HOLESLO,THESPDA,THEFIPA,THENAMA","9"
"MINDSDA,THECOHA,THECODI,THENOEL,ADOBEAD,MEDITMA,THEMIMA,THEPRWI,INTROJO,MIDDLGE,HOWTOPE,HOWTOKE,ZENANRO,GUNSGJA,GOODONE,ANNAKLE,THEDOJA,THEBIMA,THEBIJA,THEPRST,THENIER,THENICL,FOOLSRO,THEENRO,THECHRO,WOMENMA,WORLDMA,THENIJO,UNDERMA,THESEPE,DRAWIBE,THESEAN,THESEBR,THEARJE,THEBRNO,MEDEAEU,DREAMMA,ULYSSJA,GHOSTMA,THEBOPA,THEKIJA,THEBORO,THEBOBE,THEDAMA,WHEREKA,VAGABTA,AHISTJO,THEINNI,MAKINKE,THEGIJO,THEFADA,THEFAGA,THERERI,THEREDO,THEUNMA,HOWCHJO,THESTCA,BRIDGHE,THEMAWI,THENEAN,THEMALO,BATMAJE,THEFOMA,THEDEST,DRJEKRO,THEGOJO,THEDEGE,MASTERO,HEALIMA,THESOJO,THETRJO,THECARI,THECAGE","8"
