"Blocking Key Value","Frequency"
"UT,YO,THHIPL,THFEOF,THFOHO,THBEBO,YODOKN,BRHA,ZEINTH,THBA,THSA,THQUAN,THBOTH,GOWITH,ANITO,FIOFTH,THININ,THGRDE,THNECO,THLAST,SEPOOF,THISHO,INTHWO,THYOFO,SEHE,SEKI,ROANJU,LOANFO,QUOFTH,THHEAN,THSEST,COWIGO,THHAPR,THLOHE,THLOAN,THLOBO","18"
"THINOF","361"
"ONMAVO","17"
"THCHOF","352"
"THATOF,AMINI,LEOFTH,THFOAG,THMABO,WOOFWA,ATIOF,HEOFTH,THBU,THJO,THOLMA,THTITR,CACR,THDUOF,THBOWI,WHYOGO,THGION,THGIFR,AGUTO,NIWA,TWOFTH,THROLE,LORE,THWIIN,THCOGU,TOKIA,JAANTH,AFEOF,THPRPR,LOJOAN,DARI,FICO,HOHE,HOTOSP,DEFA,ASTCA,THLOMA,MAMI","16"
"TO","351"
"ANTHTH,EG,UL,ZA,THUNIN,THFASI,THSIRO,WHTHDO,BIMA,BLHO,PLOFTH,WHISTH,THFL,THSN,THRAMA,TRINTH,THTRBO,THTRST,NIGIDO,THINMA,THGRBO,DEOFTH,INTHBL,THWAI,MEANMY,ININTH,UNYO,ISOFTH,HAANTH,HIOFTH,MAINTH","15"
"BI","348"
"WAFOTH,THHOAT,ER,SWRE,BECH,NOGANO,THHOON,THUNJO,FUHO,JEANTH,ABROF,THEM,CHSOFO,ANOFGR,MYST,HAPOA,BOOFTH,TRTHAR,AYEOF,AWAIN,THTRWI,SWARON,THLIA,COOFTH,COOFAN,BEANTH,THWATH,THCAWH,ATOFTH,THCOCH,THCOCA,WETOTH,FIANFU,TATECH,AFIGU,THWROF,HOTOLO,DEBR,ONPIVO,THLOCI","14"
"VI","341"
"L',CHYOTH,THCAGU,WHBRBE","13"
"THST","336"
"ALTUTH,BETHST,EI,LY,ME20,PS,SWSO,THSHCO,THSIIS,THSIAN,THUPOF,THSIWI,MIJO,THFELE,HOMOCA,THDIAR,COINTH,BLFL,BLMA,BLRE,REFOTH,MOPA,THDEDE,FAFRTH,THOFGL,THFLOF,THSTBE,THBABO,THBABE,THMAFI,THBAFO,KEOFTH,HEOFDA,THJE,THNA,THMU,THOV,THSW,GUGEAN,REPR,THDOIN,THFUAD,INBL,INCI,INPI,APEHI,RIST,PEDE,PEPA,PESE,IAMHE,ILOYO,GOMO,PILO,GOSO,THBRST,THBRWO,THBRCO,NEMO,LETOTH,MUONTH,THISA,LEPENI,THGLCA,BRNEWO,LIONYO,JAEY,THGRGA,ITNOAB,COCA,THGRMI,THGRSH,COST,LIPO,EVLI,CRCO,CRIN,INTHGA,SAHA,THROST,THTUOF,ARTHWO,THWHCH,MEARFR,THWIAN,MYOFTH,THCOTA,THCOWA,GOINTH,AUOFA,WHDOYO,SHCH,SHME,THSEDA,DAVI,THARWA,DEWOVO,THULGU,THSEWO,THFACO,AMAFO,MABO,THLOLA,THLOAR,MAPA","12"
"THLIBO","320"
"HAPOCO,TUWIMO,THSWOF,ATITO,THTA,THBISH,THBRTH,STINTH,12RUFO","11"
"THMIOF","312"
"NOTHKI,VEGOLI,GH,JI,STWIWH,SWPO,THDASI,THFISE,THUNSO,THSHLI,THSIEX,ONDA,WHTHHE,MIMO,THSKIS,THDIBE,THBEMY,AVOIN,THTI,ARETO,TAASFA,WHAFOF,REFA,THMIGA,THTHTH,RIDAPO,IAMNU,THBORE,THMOAN,GHINTH,THTOMO,ELRI,LARO,CHTH,THREBE,LEGO,THINLI,WHBE,NOPE,COTO,THNIAN,CRCR,INTHFO,AMSN,RUOFTH,THWI+,THWIHE,THLIPR,WIOFFI,THPOTH,THWEAN,FILOLA,THLEHA,ADAAT,PLWIFI,MATHAR,THSEMA,SOOFIN,THWRBR,HOTOPL,HOTODE,DEGA,THHATA,DOANDR,THLOPA,THSCFO","10"
"TI","304"
"THDASE,MECH,BEDI,BEFR,THHOTH,BERE,THSOCO,ONBU,MIHA,PHINTH,PAFOMA,THSTLI,AVIOF,ALINWO,IAMA,COINDE,LEONTH,THMASC,THMAMI,THMACO,THMABR,THBLDA,THSC,THVA,THDRWA,FAOFTH,INEX,MAANTH,THMIPA,THRAKI,THTIMA,10THTO,THMOBO,CAPR,AROOF,ONOFUS,TAOFA,MOWIEI,THREJO,THREBO,VAKNVO,MOANTH,THCAFO,ANCA,BEWEWE,THWIMA,THNITH,THNIST,SICA,DAGR,DARE,OLPOBO,THSEPO,THUMAC,SPST,ONPIBO,HOTOCA,DEFL,BABO,THLOSO,MACO,MATI","9"
"SL","300"
"MI","3564"
"HE","3420"
"BE","3256"
"WI","3150"
"TR","3132"
"MO","3128"
"PA","2805"
"DE","2730"
"SH","2716"
"WA","2688"
"WADIUN,THDALA,AMEOF,OFTHLE,CE,LEDAVI,MEFRTH,THSPAN,MEKA,THFIOF,THFIST,FRME,THUNVO,THFOAN,THSTTR,BLBR,BLBO,NOFRA,SEOFA,THMEWH,BROFTH,FIINTH,THDECU,THDEDI,THDEBO,THSTCA,AKNOF,THMACI,MOINTH,IHAA,THCU,THKEOF,BATOTH,THKETO,THVEHU,THRU,THWH,DAANGO,NOPLTO,THOMDI,ANOFAN,RESP,THMICH,ORISTH,THBHGI,PATO,ARYOTH,INDE,THMIPR,ONDAIN,BOOFDE,THTIOF,THMOLA,DROFAU,THMOIM,GOBO,THMOWH,THRIST,WAHO,LAMA,EVIKN,TH4-WO,NIPEST,THRETR,HUXHU,THRERE,THNEST,THNEAL,IFIST,COEN,WICO,LIBE,COMA,THLAUN,NOWO,THWALA,THWAAN,THABTR,THCHFA,ONBEA,THCABO,THISGO,ASAMA,INTHHE,HAHO,ANKA,AWRIN,MIPEHO,PHOFTH,THWIBO,THLICO,THCOPR,THLIIN,THWIGI,THCOMO,YOARHE,THCOAN,THCOHA,FACO,UNCO,WHITA,ALYONE,SHWA,HIFI,THCLDA,THPRBR,THPSOF,ALCRGR,DAEM,SOBO,OFMIAN,THSESH,JUTR,SOWO,ADINTH,FATOTH,ADEIN,HOTORU,HOTOFI,HOTOGR,HOTOGE,AROFTH,HOTODI,HOTOCO,HAEVAF,DEDA,THAMBO,ANINCA,AMACA,DEWA,THUGTR,THANCO,THANAN,THWOTR,MAAN,BADA,MADA,BAANAL,THLOLE,THLODA","8"
"THCOPO","297"
"WAFOGO,DICO,SEFOTH,PRTHPO,FOOFNA,TOTHVO,CAUNAN,THHISE,AMITH,WOWHRU,BLMO,MORO,FABETH,21LEFO,THAW,THBL,TIBETH,THNI,FLOFTH,HATHSK,LACHIN,ISITWR,THTIPO,SIOFCR,ANEEA,ANASGU,THLALE,THCHST,INTHLA,EATOLI,FAUP,THLEBO,TOOFTI,GUWORE,THWOWO,SATHCA,HOTOFA,TATOST","7"
"THAROF","14927"
"VE","288"
