"Blocking Key Value","Frequency"
"THBOOF","48222"
"RE","45067"
"MA","43053"
"CO","37530"
"ST","28078"
"DE","26910"
"CA","23688"
"SH","19885"
"IN","18576"
"THAROF","17110"
"DROFTH,RUOFTH,THEVOF,FAAN,THHAAN","95"
"AFIGU","94"
"THJUBO,FAOFTH,ELSEDE,BEOFTH,ELCADE,HOTOHA","93"
"REFOTH,FOLOOF,APLCA,THISTH","92"
"OP,THBLCO,THNI,THPRIN","91"
"CY,BLLI,LEMADE,THMAWO,THSTCH,THGU,THNE,THFROF,APROF,WICH,THCACO,THISNO,INTHBL,THCOTA,REFOA,DEBE","90"
"ET,THCU,THBOWI,THROAN,LOST,ASHOF,LOANTH,ADAOF","88"
"ALINWO,APOOF,AHAOF,LECHDE","87"
"JI,ZA,THHUFO,IAMTH,WIHE,ITHATO","85"
"AQUOF,ATAFO,BLMA,IAMA,RARE,THBLBO,THBIAN,LEFRA,GOANTH,CACO,CARO,POCO,THWADE,CRCO,INTHNA,THCOWA,LELIDE,GOINTH,CLOFTH,HAANTH,THSCLE,HIOFTH,DAAN,DEBR,MAST","84"
"ACEOF,THLAST","81"
"ANTHTH,THFIST,SEOFA,PAOFTH,ALTHBR,ATIOF,THGIFR,LOLI,TOKIA,SEST,FIANIC,SIINTH,ANINTH,LOISA","80"
"KN,THMACO,THTHMU,THININ,THLASU,THLALI","78"
"EU,THBL,THTETH","77"
"MATOTH,FAFRTH,MOINTH,INMA,POOFTH,JAEY,THNEYO,THWAAN,DAONTH","76"
"ZI,BLWI,THTIMA,THTITH,THBOON,THLADE,THCOGU,DACO,THWOBE","75"
"ROANJU","74"
"MUADAB,BETHST,YEOFTH,INPROF,THFIFO,THMAST,THBACO,ANOFGR,JATHRI,CACR,THMOIN,THMOBE,HEANTH,WHARYO,THWALA,THLAGO,THGUOF,THGOCO,ALOWA,INTHGA,MIINTH,THNIOF,SHST,COANTH,AHOFO,DIINTH,HOTOTH,ENOFTH","72"
"AZ,HY,THFASI,THSICH,ADROF,FLANTH,CHCH,STFRTH,THLABA,AFAOF,WHIAM,PLWIFI","70"
"BEFR,HOFOTH,TRINTH,BUTHVA,THGRCO,ALIPR","69"
"THFITH,WHTHBO,THDEDE,LIANDE,THMOMA,NISH,THLAWO,THTUOF,TOOFTH","68"
"CE,THTIOF","296"
"OV,UT,THSHHO,THSTST,HEOFA,BOOFBL,GOWITH,THGRBR,COCA,THLIGI,THWIRO,THWIKI,OROFTH,DITHLI","66"
"THBEBE,MYNAIS,MIOFTH","290"
"BLRO,BLSU,THFU,THSN,MUOFTH,LAHIDE,THLATH,SAGR,THGOSO,THNOOF,MACA,STME","65"
"THDA,THHU,THLADA","288"
"KR,THDICO,THFE,FILA,COWITH,THALOF,AMACA,STMA","64"
"THWHOF,DEDE","286"
"SWRE,THBETH,THAW,IFYOGI,TAOFA,IWAA,THLALE,TOLOA,THCOPE,THWHHO,FIDA","63"
"WOOFTH","285"
"DEONTH,ONTHRO","62"
"MUONTH","284"
"ID,KU,LY,PY,THHOTH,THJOHO,AMINI,SOFRTH,THFOAN,BLSP,AKIOF,THBEMA,THMEAN,THBEHO,MOPA,THMATH,THMALA,THBU,THKEOF,THMU,WHWEWE,TIOFTH,THOLMA,PEPA,THBUBO,THDUOF,MYLIAS,WHCOIS,GAOFTH,SEINTH,SHOFA,THMYAT,THGRDE,COMA,THLATI,WIWA,THABOF,ASEIN,THCOPL,HEHO,THFAAN,HOTODR,DEAN,STCO,STHE,MAWA","60"
"THFIOF,THDEIN,THEX,THVIOF,THGHOF,THSAOF","280"
"ARANTH","58"
"AP,KE,KEOFTH,WHDOYO","276"
"THFIBO,OUOFCO,WHTHDO,HIANSE,WHISTH,THQUAN,LARE,THGRGA,THGRBO,THNECO,ININTH,THARAN,HOTOSA","57"
"THSWOF","275"
"OL,HOONTH,THMAFA,REFRTH,SHONTH,ELCODE,LACA,THEAAN,THCHAN,THPOAN,HAHO,MYSOTO,LECODE,MYBEFR,ADATO,AFIOF,DAHO,DEWI,THSCFI,THWOAT,THWOAC","56"
"GH,MEOFA,THCOMA","270"
"UL,WY,THSKOF,BLHO,GOOFTH,ALTHLI,THFL,THTHTH,THWAWI,OULAOF,THGOGA","55"
"HOTORE","265"
"CRTHLI,THDATO,THHOIN,GRANTH,BRRO,DIOFTH,THSL,BAINTH,NOYOSE,THVIFR,FIONTH,TOHAAN,SEHE,SESO,FAMA,CHINTH,SEANTH,BABL,THLOHE","54"
"KO,THBEAN,THLE,THTA","264"
"FOOFTH,DOWHAN,INWITH,BLCA,BLDA,THHUOF,THFUAD,ONDAIN,NIMA,DATODR,LERODE,COMO,THCHMA,CRINTH,THLOWI,MOOFTH,THSESO,FIKE,HOTOPR,AMAFO,DEUN,MACH","52"
"EMOFTH","261"
"OT,CAANTH,EAOFTH,ALTHPR,THBLMA,APAOF,THISA,SCANTH,THPATH,BOANSO,THLACH,INTHPR,THROST,AFTHFI,SESI,QUFOTH,THPRDA,SMWO,PIOFTH,THHAMA","51"
"THSTAN,THRAOF","260"
"THSKIS,THFOWA,BRPO,CRANPU,SOST,AROFTH,THLOPR","50"
"VOOFTH","258"
"BECH,LADA","49"
"THPUOF","256"
"MÃ,RH,MECH,TIANTH,THUNST,THATOF,WHTHWO,NEGEEV,BLTR,CIOFST,THBEBO,SEFRTH,MOMO,THBABE,THJO,THSW,PIINTH,REHE,WIYOWE,THKNOF,THTITR,GOHO,LECH,MOANTH,WHLI,CODA,THCAFO,LOSO,MEANMY,THCOPR,THCOFA,UNDE,HIFI,THPRPR,DEEN,THANTH,BEINTH,LAVIDE,BAANAL,THLOCO","48"
"JEANTH,THBA,THFUOF,THPEOF,THWOWH","252"
"LAREDE,APAFO,THBIBA,THWAWE,WAANPE,STBYST","46"
"THIMOF,THEMOF,THCAIN","250"
"BETHBL,STST,THFIWI,BRONTH,LOONTH,THAC,THBLSH,TADAAN,LAPRDE,GHINTH,GRDA,OFLOAN,THREMA,PRCH,AWIIN,ANOFA,SWOFTH,THGRIN,WIMA,THLAWA,INTHMO,THPIPR,THTWDA,LOPO,THWHRO,THWIWO,THLILA,THCOSE,LOANOT,ROANTH,INTODE,THNITH,ADAWI,THAPOF,DELI,THHATH","45"
"HOTOTA","245"
"MOONTH,FRFA,THMASE,ATHOF,THMAMO,ADOFHU,THBI,THRU,SHHOAN,PAPR,LAESDE,TRME,APRFO,RAANTH,THINWO,THINDE,INTHHE,INTHLI,THPIBO,THCOCA,THCOTR,THPRBR,THPRWI,THSESH,THFAIN,SPSE,DEFA,THLOGO,THLOLE,THLODA","44"
"THRIAN","243"
"BETHMA,WADIPI,THHIGU,BLDE,GIINTH,INBL,INDA,ACAIN,AROFO,WOONTH,THMOBO,MYLIIN,RIOFPA,WAST,LEOFA,FLANBL,ACOIN,WHHO,THTWTO,COBL,THLATE,THCHIN,THROHO,AHEOF,FROFTH,THCOKI,THCOHA,COWOOF,AJOOF,THWOWE,THSEIN,WOWAII,HOTODE,THLORO,BABO,THWOST","42"
"THDR","242"
"FOCO,COPO19,THFICH,BLBO,THBEIN,MOTHA,ISINTH,THAM,RUWITH,RERO,THMIMA,TRBYFI,INDEOF,APIOF,AYEIN,THTRST,THCEOF,THLAUN,SAFA,HAMA,THWIBO,SHCH,THSEHI,DAPR,AHOIN,HOHE,AFLOF,THJEOF,SUINTH,ECOFTH","40"
"THHE","792"
"THDO,THEN,ELLIDE","240"
"THDAVI,THSOCO,CHOFA,THFAON,WHTHRE,MIMI,AVIOF,THBETR,FEANLO,GUTOTH,FAFRGR,THMATR,STANST,THFR,THBLSW,LIATTH,THONAN,THTIBO,THTHST,THKIIN,APLTO,ASTOAS,FIOFTH,THGRTR,THGRSH,THLAWI,THLAHE,INTHNI,SACH,INTHWA,SOOFA,THCODI,SEANSE,THUGDU,BARO","39"
"LU","782"
"HOTOWR","236"
"MOMI,THDRAN,THBLRO,CACA,THVIBO,FAANSO,THNEST,SEPOOF,THCOCH,ALANTH,INTOTH,ONINA,THSEAN,FAINTH,OFMIAN,DEANDE,HOTOCO,THHABO","38"
"THNAOF","780"
"PS,BEHOAN","234"
"STPO,BETHDA,BETHSE,YOBETO,WADITH,DIIN,THDAHO,AMEOF,OD,BEMA,THUNOF,THSICR,MICH,ITTAA,THSTTR,NOFRA,CIOFGO,THDETR,WAONWA,THSTFO,THMAKI,THBAFO,THPH,THSK,SEWIA,THFRPR,PAST,INST,APEHI,AISFO,ATRTO,FRTHDA,MYLIWI,GOSO,THECOF,THRITO,ALAOF,LAPR,SEPOAN,TAOFPO,PRIN,ALIBO,THPLTH,THLATR,ACRIN,GIOFTH,JOINTH,THWIDA,THCOCL,THLIMA,GIINA,THCOWI,SHMA,THNILI,CAOFDE,THPRDI,SKDE,THSEDA,DAST,DASP,THSEWI,THSEPO,FIST,HOTOTR,THEXOF,HOTOFI,HOTOCH,HAEVAF","36"
"MAANTH,THTRWI","756"
"THDATH","232"
"THFISE,THFIDA,CLANTH,BLWO,CIOFBO,THEM,THIL,THTI,THVO,IAMNO,JUB.FI,ALITO,DEINA,LOLE,DAME,THSESC,THCRTH,ASUOF","35"
"THBO","754"
"THSP,THGOBO","231"
"THFIIN,ICARE,ELARDE,THRAAN,HEANHE,PRMA,THCHTR,THWIAN,HOTOLO,IKNWH","34"
"NIOFTH","748"
"THKI","228"
"THDAGA,ABEIN,BEBO,THHOMA,THFILA,THUNCO,DOST,THOFTH,THMAMI,THDRKI,PALI,AGLOF,TRCO,THTRAN,CHRE,CORE,THLAVA,COWO,THLARE,INTHHO,SAHE,THWICH,THCOBE,THYOFO,THWIMA,SISO,COWIGO,MAME,MAPA","33"
"HAPOAN,MAMA","728"
"THSA","225"
"SWSO,THSHWH,ONWIOF,DEISNO,HEONEA,BLSI,THSWIN,THBELA,THBEFR,ALTHMA,BRLI,LIINA,SHOFGR,THOA,THTW,WOOFHO,WHAFOF,REWH,THDOWH,CASO,ROCR,AYEOF,THBRST,OVTHED,POPL,WHARTH,THINGA,TWOFTH,TOBEA,COTR,COWI,ACROF,HONOTO,THLAGU,CRHE,SAHA,LOWO,ANENOF,WEINTH,ADAAT,THSEKI,DABO,DAWI,THANCO,THLOMA,MAMI","32"
"THFO","720"
"THKETO","224"
"STTI,FRANTH,FOMA,STONA,AE,EI,THHOCO,THFIAN,THFATR,MISU,OPSE,LAINTH,THSTMA,BLBL,THSUWI,BLFA,THFOHO,OUOFSI,THMEBO,MODA,ALTHGL,THDEMA,LIANTH,THSTCO,BRST,THVEOF,THGE,THTU,THVE,EMANTH,THOTWO,LACIDE,THDOHO,AGINA,PARE,MAANMA,LIHOIN,ESFRTH,TRIS,CAWA,NOANSO,KIARAN,AWAIN,ONFOTH,THREAN,NIST,BIGIDO,THGRAN,THGRWA,WIGA,THGRMA,COSU,THCHTH,CRCR,THCACH,INTHWO,HATI,THWHBO,THCOAD,THWITR,THWITA,FAFR,UNCO,SHBA,UNYO,SIST,THPSOF,THSEHO,DAFA,TOTAA,HOTOTE,DEGA,THHAHO,THSCFO,THLOLA,MATR","30"
"ACOOF","714"
"THWO","221"
"LOINTH","710"
"BETHFA,DIWA,TOTHLI,THSHAN,THFARE,INPUOF,THHIST,THHIKI,WRINBL,MIDA,THSTSE,AKIIN,MOSO,THBATR,TERI,THSTIN,BRRE,AMUOF,STATTH,ANOFAV,LETAAB,SPINTH,THTHLO,THTHAN,LANODE,PESE,THTHWI,FRTHMI,THRERE,BLONTH,THGRBE,COFI,THGRMY,WILO,COSHST,INTHAR,ALOLI,THGOWO,THROTH,THGOLI,DEISA,PHOFTH,THCOGI,THCOTH,SHDA,UNME,SHWA,AFEOF,WHISA,THPRMA,VIOFTH,DAFI,DALA,GROFTH,SOBO,THSESI,FICO,DEIN,DERO,DERI,DESI,LOINA,STBE","28"
"THAL","220"
"SWINTH,AFROF,REOFA,THHIPL,LEOFFA,THHUAN,THFOLO,BLTI,THDEST,THMABR,NOOFA,THBLWI,CRFOTH,ADOFTH,METOBE,WHWATH,THMIMI,MASEFO,THMODA,THVIAN,STOFMI,THBRWO,LOISTH,THPEBR,PRSU,THGRCH,IFISH,WITH,EVST,THGUAR,THCHGA,INTHKI,INTHDE,GAANTH,AFTHFA,THWISI,FAHA,IDOWA,SINI,NOFRUN,AFIAN,DAGI,DAGA,STWATH,MEOFMY,THCRCA,THAMMA,THLOSO,THLOGL,THLOAR,STCH","27"
"OU","704"
"WAFOTH,INTHLA,ATOFTH","217"
"BETHMO,BETHSH,BETH,THFASH,LEOFGR,GEOFTH,THBECH,MOST,WAONTH,THMAWA,THBLMO,TAFRA,THKIBO,THBRBO,GRMA,THRECO,ROINTH,THLIA,BRNEWO,THRERO,THWAIN,THCATR,ONBEA,THCACA,AGRAAN,ALOFO,ANKA,SAOFTH,THLICO,THLIBE,INMYFA,AFATO,FALI,THLEHA,HOTOSP,BIOFPR,THHACO,THWOAN","26"
"THFA","700"
"LACADE,THPI,THTO,ANOFTH,NAOFTH,GUOFTH,THLOWO","216"
"THFAMA,TRTR,THBOIS,THNEPR,WICA,FIRE","25"
"THINOF,THYEOF","684"
"ASEOF,HOTOST","215"
