"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorLevenshtein record1Value","[0] BookTitleComparatorLevenshtein record2Value","[0] BookTitleComparatorLevenshtein record1PreprocessedValue","[0] BookTitleComparatorLevenshtein record2PreprocessedValue","[0] BookTitleComparatorLevenshtein similarity","[0] BookTitleComparatorLevenshtein postproccesedSimilarity","[1] BookAuthorComparatorTokenizingJaccard record1Value","[1] BookAuthorComparatorTokenizingJaccard record2Value","[1] BookAuthorComparatorTokenizingJaccard record1PreprocessedValue","[1] BookAuthorComparatorTokenizingJaccard record2PreprocessedValue","[1] BookAuthorComparatorTokenizingJaccard similarity","[1] BookAuthorComparatorTokenizingJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","Goodreads_books_20797","Covers_47302","0.27999999999999997",,"Coalescent","Confession","Coalescent","Confession","0.4","0.4","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_14350","Covers_150252","0.26923076923076916",,"Brokenhearted","Brocade","Brokenhearted","Brocade","0.3846153846153846","0.3846153846153846","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_10674","Covers_86586","0.175",,"Flame","Flashforward","Flame","Flashforward","0.25","0.25","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_41256","Covers_66895","0.21000000000000002",,"Candlemoth","Cakewalk","Candlemoth","Cakewalk","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_24055","Covers_31864","0.3888888888888889",,"Fortitude","Forbidden","Fortitude","Forbidden","0.5555555555555556","0.5555555555555556","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_49293","Covers_123388","0.26249999999999996",,"Immortal","Imagica.","Immortal","Imagica.","0.375","0.375","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_45009","Covers_177507","0.15555555555555553",,"Midnight","Mirrorman","Midnight","Mirrorman","0.2222222222222222","0.2222222222222222","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_27184","Covers_33269","0.23333333333333334",,"Mayhem","Mama","Mayhem","Mama","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_43155","Covers_95604","0.23333333333333334",,"Diary","Dialogues","Diary","Dialogues","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_46219","Covers_39489","0.33599999999999997",,"The Time in Between","Through Time Into Healing","The Time in Between","Through Time Into Healing","0.48","0.48","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_23494","Covers_182951","0.3",,"Seas","Secrets","Seas","Secrets","0.4285714285714286","0.4285714285714286","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_41632","Covers_132717","0.23333333333333334",,"Middlesex","Mirrors","Middlesex","Mirrors","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_24753","Covers_31257","0.22340425531914893",,"Heart of the Flame","Heart Of The Night (Harlequin Intrigue, No 442)","Heart of the Flame","Heart Of The Night (Harlequin Intrigue, No 442)","0.3191489361702128","0.3191489361702128","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_30280","Covers_236394","0.21000000000000002",,"Scandalous","Scherzo","Scandalous","Scherzo","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_7791","Covers_156781","0.2065573770491803",,"The Journey of Hannah Woods","The Journals of Lewis and Clark (Signet Classics (Paperback))","The Journey of Hannah Woods","The Journals of Lewis and Clark (Signet Classics (Paperback))","0.29508196721311475","0.29508196721311475","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_11952","Covers_95859","0.39999999999999997",,"Parrish","Paradis","Parrish","Paradis","0.5714285714285714","0.5714285714285714","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_14194","Covers_115235","0.19718309859154926",,"Summary of The Total Money Makeover: by Dave Ramsey | Includes Analysis","Sunset of the Sabertooth  (Magic Tree House #7)","Summary of The Total Money Makeover: by Dave Ramsey | Includes Analysis","Sunset of the Sabertooth  (Magic Tree House #7)","0.2816901408450704","0.2816901408450704","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_23172","Covers_227575","0.23829787234042554",,"The Pleasures of the Table","The Play of God: Visions of the Life of Krishna","The Pleasures of the Table","The Play of God: Visions of the Life of Krishna","0.34042553191489366","0.34042553191489366","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_40273","Covers_1363","0.23333333333333334",,"Shortcomings","Shock","Shortcomings","Shock","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_21026","Covers_126556","0.22884615384615378",,"The Price of Liberty (The Story of the Liberty Bell)","The Promise of a Lie","The Price of Liberty (The Story of the Liberty Bell)","The Promise of a Lie","0.32692307692307687","0.32692307692307687","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_1311","Covers_21819","0.21000000000000002",,"Macunaíma","Marcovaldo","Macunaíma","Marcovaldo","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_47020","Covers_263177","0.48999999999999994",,"The Cantos","The Castle","The Cantos","The Castle","0.7","0.7","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_28592","Covers_117023","0.35",,"Dare","Dancer","Dare","Dancer","0.5","0.5","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_29527","Covers_162211","0.26249999999999996",,"Drive","Dreamers","Drive","Dreamers","0.375","0.375","","","","","0.0","0.0"
