"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorTFIDFCosine record1Value","[0] BookTitleComparatorTFIDFCosine record2Value","[0] BookTitleComparatorTFIDFCosine record1PreprocessedValue","[0] BookTitleComparatorTFIDFCosine record2PreprocessedValue","[0] BookTitleComparatorTFIDFCosine similarity","[0] BookTitleComparatorTFIDFCosine postproccesedSimilarity","[1] BookAuthorComparatorJaccard record1Value","[1] BookAuthorComparatorJaccard record2Value","[1] BookAuthorComparatorJaccard record1PreprocessedValue","[1] BookAuthorComparatorJaccard record2PreprocessedValue","[1] BookAuthorComparatorJaccard similarity","[1] BookAuthorComparatorJaccard postproccesedSimilarity","[2] BookGenreComparatorJaccard record1Value","[2] BookGenreComparatorJaccard record2Value","[2] BookGenreComparatorJaccard record1PreprocessedValue","[2] BookGenreComparatorJaccard record2PreprocessedValue","[2] BookGenreComparatorJaccard similarity","[2] BookGenreComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","Goodreads_books_5200","Amazon_10755","0.3",,"Fruits Basket, Vol. 19","Fruits Basket Collector's Edition, Vol. 1","Fruits Basket, Vol. 19","Fruits Basket Collector's Edition, Vol. 1","0.0","0.0","Natsuki Takaya","Natsuki Takaya","Natsuki Takaya","Natsuki Takaya","1.0","1.0","Sequential Art-Graphic Novels","Graphic-Novels","Sequential Art-Graphic Novels","Graphic-Novels","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_23744","Amazon_10548","0.09999999999999999",,"The War of Wars: The Great European Conflict 1793 - 1815","The Walking Dead Volume 12: Life Among Them","The War of Wars: The Great European Conflict 1793 - 1815","The Walking Dead Volume 12: Life Among Them","0.0","0.0","Robert Harvey","Robert Kirkman","Robert Harvey","Robert Kirkman","0.3333333333333333","0.3333333333333333","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_8788","Amazon_4745","0.6",,"The Cowards","The Collector","The Cowards","The Collector","1.0","1.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_19145","Amazon_3238","0.0",,"Masters of the Veil","Masters Of Doom","Masters of the Veil","Masters Of Doom","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_33185","Amazon_17216","0.4",,"Devil in Winter","Devil's Daughter","Devil in Winter","Devil's Daughter","0.0","0.0","Lisa Kleypas","Lisa Kleypas","Lisa Kleypas","Lisa Kleypas","1.0","1.0","Romance","Romance","Romance","Romance","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_31810","Amazon_3360","0.0",,"The Lords of Discipline","The Lost Soul of Eamonn Magee","The Lords of Discipline","The Lost Soul of Eamonn Magee","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_30762","Amazon_21061","0.4",,"Artemis Fowl","Artemis Fowl and the Atlantis Complex","Artemis Fowl","Artemis Fowl and the Atlantis Complex","0.0","0.0","Eoin Colfer","Eoin Colfer","Eoin Colfer","Eoin Colfer","1.0","1.0","Young Adult","Young-Adult","Young Adult","Young-Adult","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_27122","Amazon_8190","0.0",,"The House on the Gulf","The Horologicon","The House on the Gulf","The Horologicon","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_32524","Amazon_15602","0.3",,"Harry Potter Collection","Harry Potter y el prisionero de Azkaban","Harry Potter Collection","Harry Potter y el prisionero de Azkaban","0.0","0.0","J.K. Rowling","J. K. Rowling","J.K. Rowling","J. K. Rowling","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_23297","Amazon_7334","0.8999999999999999",,"Blue Shoes and Happiness","Blue Shoes And Happiness","Blue Shoes and Happiness","Blue Shoes And Happiness","1.0","1.0","Alexander McCall Smith","Alexander McCall Smith","Alexander McCall Smith","Alexander McCall Smith","1.0","1.0","","","","","0.0","0.0"
